id,name,category,sales,region
1,Whole Grain Coffee Beans Bag,Grocery,77,West
2,Lite Bluetooth Speaker,Electronics,1857,South
3,Ultra Monitor,Electronics,794,West
4,Eco Non-stick Pan,Home,294,East
5,Advanced Blood Pressure Monitor,Health,237,South
6,Compact Microwave Oven,Home,99,South
7,Classic Coffee Maker,Home,101,North
8,Advanced Flash Card Set,Education,146,East
9,Clinical Pain Relief Gel,Health,289,South
10,Plus Monitor,Electronics,1679,North
11,Slim Fit Scarf,Fashion,166,North
12,Herbal Multivitamin Pack,Health,130,East
13,Classic Leather Wallet,Fashion,420,East
14,Daily Blood Pressure Monitor,Health,113,South
15,Daily Blood Pressure Monitor,Health,286,West
16,Official Treadmill,Sports,298,East
17,Premium Basmati Rice Pack,Grocery,38,West
18,Vintage Sunglasses,Fashion,500,South
19,Smart Webcam,Electronics,1243,East
20,Natural Blood Pressure Monitor,Health,211,North
21,Advanced Hand Sanitizer Pack,Health,242,West
22,Natural Protein Powder,Health,127,West
23,Herbal Vitamin C Tablets,Health,213,North
24,Premium Swimming Goggles,Sports,757,North
25,Training Yoga Mat,Sports,724,South
26,Foldable Blender,Home,97,South
27,Clinical Multivitamin Pack,Health,169,North
28,Complete Machine Learning Guide,Education,75,West
29,Premium Oatmeal Pack,Grocery,79,West
30,Premium Cereal Box,Grocery,107,East
31,Modern Cushion Cover,Home,572,North
32,Illustrated Python Book,Education,142,South
33,Air Webcam,Electronics,380,North
34,Air External SSD,Electronics,1040,South
35,Whole Grain Coffee Beans Bag,Grocery,83,East
36,Lightweight Golf Club,Sports,700,South
37,Vintage Sneakers,Fashion,113,South
38,Beginner Coding Notebook,Education,15,East
39,Beginner Scientific Calculator,Education,44,West
40,Premium Cereal Box,Grocery,21,North
41,Concise Encyclopedia Set,Education,78,West
42,Advanced Java Programming,Education,62,East
43,Mini Bluetooth Speaker,Electronics,297,South
44,Illustrated History Atlas,Education,49,North
45,Pro Tablet,Electronics,764,North
46,Heavy Duty Basketball,Sports,150,North
47,Max Smart Plug,Electronics,1614,West
48,Pro Skipping Rope,Sports,223,North
49,Smart Drone,Electronics,1791,West
50,Foldable Curtain Set,Home,556,East
51,Complete Machine Learning Guide,Education,116,East
52,Applied History Atlas,Education,134,South
53,Ultra External SSD,Electronics,363,West
54,Local Peanut Butter Jar,Grocery,7,West
55,Applied Data Science Book,Education,105,North
56,Herbal Protein Powder,Health,77,West
57,Clinical Protein Powder,Health,116,North
58,Compact Wall Clock,Home,327,West
59,Concise Coding Notebook,Education,37,East
60,Pro Yoga Mat,Sports,103,East
61,Designer Wool Sweater,Fashion,418,East
62,Organic Basmati Rice Pack,Grocery,99,East
63,Concise Coding Notebook,Education,150,North
64,Trendy Leather Wallet,Fashion,178,South
65,Fresh Olive Oil Bottle,Grocery,101,West
66,Formal Wool Sweater,Fashion,175,East
67,Premium Basmati Rice Pack,Grocery,84,East
68,Fresh Olive Oil Bottle,Grocery,69,East
69,Imported Honey Jar,Grocery,65,North
70,Concise History Atlas,Education,146,West
71,Herbal First Aid Kit,Health,236,South
72,Smart USB Hub,Electronics,468,South
73,Compact Cushion Cover,Home,326,North
74,Compact Microwave Oven,Home,284,East
75,Classic Wool Sweater,Fashion,112,South
76,Outdoor Gym Bag,Sports,761,West
77,Eco Non-stick Pan,Home,91,South
78,Concise English Grammar Guide,Education,88,West
79,Casual Denim Jacket,Fashion,276,East
80,Organic Almonds Pack,Grocery,63,North
81,Air Router,Electronics,1211,East
82,Herbal Multivitamin Pack,Health,25,South
83,Herbal Face Mask Box,Health,23,West
84,Applied Statistics Book,Education,43,East
85,Advanced Java Programming,Education,16,North
86,Whole Grain Pasta Pack,Grocery,35,North
87,Formal Belt,Fashion,457,North
88,Foldable Bedsheet Set,Home,536,South
89,Premium Tennis Racket,Sports,602,North
90,Premium Peanut Butter Jar,Grocery,31,East
91,Official Water Bottle,Sports,566,East
92,Concise History Atlas,Education,126,East
93,Wireless Smart Plug,Electronics,711,South
94,Max Power Bank,Electronics,1732,North
95,Portable Air Purifier,Home,598,South
96,Designer Belt,Fashion,206,West
97,Smart Monitor,Electronics,1912,South
98,Practical Physics Reference,Education,143,West
99,Deluxe Bedsheet Set,Home,333,South
100,Slim Fit Baseball Cap,Fashion,218,South
101,Herbal Vitamin C Tablets,Health,101,East
102,Outdoor Water Bottle,Sports,725,South
103,Practical Exam Prep Kit,Education,134,West
104,Official Running Shoes,Sports,651,South
105,Organic Dried Fruits Pack,Grocery,17,South
106,Advanced Chemistry Lab Manual,Education,80,East
107,Modern Non-stick Pan,Home,174,South
108,Portable Curtain Set,Home,152,North
109,Classic Wall Clock,Home,473,South
110,Pro Cricket Bat,Sports,265,West
111,Pro Knee Support,Sports,531,South
112,Herbal First Aid Kit,Health,158,North
113,Local Oatmeal Pack,Grocery,49,South
114,Fresh Olive Oil Bottle,Grocery,64,North
115,Practical Chemistry Lab Manual,Education,69,North
116,Plus Headphones,Electronics,343,North
117,Foldable Non-stick Pan,Home,544,South
118,Organic Green Tea Box,Grocery,27,North
119,Official Yoga Mat,Sports,580,North
120,Trendy Cotton T-Shirt,Fashion,271,North
121,Applied Deep Learning Book,Education,148,North
122,Whole Grain Almonds Pack,Grocery,94,South
123,Trendy Belt,Fashion,393,North
124,Formal Cotton T-Shirt,Fashion,266,North
125,Premium Football,Sports,638,South
126,Daily Digital Thermometer,Health,115,East
127,Whole Grain Spice Set,Grocery,26,East
128,Clinical Multivitamin Pack,Health,23,West
129,Outdoor Knee Support,Sports,744,South
130,Eco Microwave Oven,Home,22,North
131,Premium Cereal Box,Grocery,14,South
132,Illustrated Coding Notebook,Education,120,South
133,Clinical Vitamin C Tablets,Health,262,South
134,Foldable Coffee Maker,Home,128,West
135,Plus Mechanical Keyboard,Electronics,1724,South
136,Clinical Hand Sanitizer Pack,Health,97,East
137,Classic Wrist Watch,Fashion,38,South
138,Advanced Protein Powder,Health,57,South
139,Classic Coffee Maker,Home,27,South
140,Deluxe Storage Rack,Home,291,North
141,Local Coffee Beans Bag,Grocery,62,North
142,Complete English Grammar Guide,Education,128,North
143,Wireless Smartphone,Electronics,1861,West
144,Slim Fit Wool Sweater,Fashion,260,West
145,Classic Graphics Card,Electronics,1696,North
146,Local Spice Set,Grocery,15,West
147,Eco Coffee Maker,Home,86,West
148,Advanced Statistics Book,Education,75,East
149,Designer Formal Shoes,Fashion,95,North
150,Premium Swimming Goggles,Sports,353,North
151,Modern Curtain Set,Home,320,East
152,Plus Monitor,Electronics,1454,South
153,Illustrated Coding Notebook,Education,94,South
